ID,Speed_Number,Speed_Letter,Speed_Figure,Error_Number,Error_Letter,Error_Figure,AverageQus_Par1,AverageQus_Par2,AverageQus_Par3,Number_Letter,Category_Switch,Color_Shape,Keep_Track,Letter_Memory,N_Back,Antisaccade,Stop_Signal,Stroop,OSpan_PCU,RSpan_PCU,SSpan_PCU,RI_F,RI_N,RI_V,DA_Uni,DA_Cross,Factor_Speed,Factor_Error,Factor_Question,Factor_Speed_Question,Factor_Multitasking_Behavior,Factor_Shifting,Factor_Updating,Factor_Inhibition,Factor_WMC,Factor_RI,Factor_DA
60.0,145.0,117.0,167.0,12.32,12.870000000000001,14.060000000000002,0.8125,0.8125,0.9375,586.5400000000001,376.9,962.8399999999999,0.8571428571428571,0.75,0.06580331519023949,0.79,231.50000000000003,243.0,0.9722222222222222,0.9333333333333332,0.8333333333333334,2.34,2.92,3.16,687.0,742.0,0.5426693882860709,0.8903750446343608,1.012903003245837,0.7810238587753882,1.4354146437286284,-0.3350631517351793,0.987074230498119,2.5422946853837307,1.5755387456587677,0.9944249204582545,1.7391499963598607
61.0,108.0,130.0,147.0,5.42,9.440000000000001,9.910000000000002,0.3125,0.5625,0.4375,312.50000000000006,528.61,170.05999999999995,0.5535714285714286,0.3333333333333333,-1.1770347287261775,0.64,167.25000000000003,255.32,0.5388888888888889,0.38333333333333336,0.7416666666666667,3.12,3.18,2.12,371.0,199.0,0.2064739642949226,-1.1096530548654477,-1.5657953925188648,-0.34841709064697896,-1.2342932235805208,-1.422302252674017,-2.6884484700815463,-0.01949710674744295,-1.4060902178335855,0.7035975961592107,-1.5071552193619373
62.0,142.0,107.0,134.0,8.92,13.620000000000001,13.540000000000003,0.5,0.6875,0.8125,415.00000000000006,313.7,554.1099999999999,0.8214285714285714,0.9166666666666666,1.3958403778858774,0.84,119.87,20.78000000000003,0.8055555555555555,0.5083333333333333,0.9249999999999999,2.67,2.46,2.72,526.0,483.0,0.05126153930288087,0.5234354429184004,-0.13927260567149052,0.14653487232250204,0.5664172360716153,-1.6053549786718249,1.4794392148246736,0.39947647406800724,-0.13964153841583538,0.3157809120343037,0.14874683749660134
63.0,165.0,125.0,166.0,10.530000000000001,13.760000000000002,18.57,0.75,0.8125,0.625,294.77000000000004,501.55,716.52,0.8571428571428571,0.8333333333333334,0.6844874926553973,0.74,162.21,183.79000000000002,1.0,0.8333333333333334,0.6277777777777778,2.93,3.4,2.98,661.0,607.0,0.730530949703978,1.3266621431262955,0.32102594487688746,0.7791505125985285,1.797470862644379,-1.0745724251246505,1.364489803213568,0.6100630810806383,0.9633010739942235,1.5997927446821596,1.146832810346678
64.0,74.0,70.0,92.0,12.32,14.55,15.000000000000002,0.625,0.625,0.75,687.37,677.3299999999999,1036.76,0.8571428571428571,0.9166666666666666,-0.3468675992079128,0.5,250.91000000000003,227.10000000000002,1.0,1.0,0.7000000000000001,2.76,3.13,1.93,502.0,518.0,-1.2006509446943547,1.3038815270728712,-0.26671929961479385,-1.110553525171994,0.10141921157256406,1.3733862603092688,1.0549431863253154,0.8245504016599434,1.6672656005203839,0.2995494610374486,0.17670349786322354
65.0,173.0,115.0,150.0,11.75,11.190000000000001,14.110000000000003,0.625,0.9375,0.8125,470.55000000000007,693.48,841.27,0.8035714285714286,0.6666666666666666,0.8678331474945702,0.76,177.08,13.509999999999991,0.9333333333333332,0.5722222222222223,0.7444444444444445,2.03,3.13,3.64,520.0,531.0,0.5023085799229211,0.5136518824719654,0.8937511886434284,0.8737396225628099,1.2036351336595152,0.48598910898206976,0.7495751765067712,1.0936118695438646,0.07383976415027105,1.4757776522370056,0.297059511293933
66.0,146.0,186.0,175.0,10.97,9.450000000000001,15.320000000000002,0.75,1.0,0.875,568.6200000000001,788.22,777.77,0.8214285714285714,0.6666666666666666,1.0251434500706262,0.87,172.16000000000003,292.67,0.9444444444444443,0.9333333333333332,0.5333333333333333,2.05,2.45,2.44,566.0,458.0,1.2909478094153282,0.2290650165641746,1.4199899808226077,1.5069037577690523,1.5282997526523843,1.1759879238359652,0.9655918023371761,1.8001830788352005,1.0634663880102293,-0.2631439956607512,0.22217236848274147
67.0,159.0,173.0,157.0,6.96,10.66,13.180000000000001,0.5,0.8125,0.8125,543.47,422.65999999999997,319.94999999999993,0.75,0.8333333333333334,1.105222729561604,0.69,172.58,158.56,0.7361111111111112,0.7111111111111111,0.8250000000000001,2.38,3.13,2.09,509.0,348.0,1.0424914405470096,-0.3160694326120531,0.27754126692699993,1.1021587281314136,0.7146383538338119,-0.9112921081723844,0.6365138477327337,0.472096722810018,0.29031858347740774,0.25088656634892526,-0.4067962349626759
68.0,106.0,65.0,109.0,9.57,10.14,7.790000000000001,0.625,0.5,0.375,334.96000000000004,551.34,945.6999999999999,0.6785714285714286,0.16666666666666666,-0.6876057744748842,0.37,0.0,215.41000000000003,0.25,0.20555555555555552,0.12222222222222223,2.38,0.98,1.93,275.0,370.0,-0.8544569310811907,-0.6762252614781011,-1.3941480127852612,-1.128653343409688,-1.5653963112185996,-0.49951073716572025,-1.670696190567977,-5.792962938851137,-3.5682025147201397,-1.9896416882218175,-1.2837100105100736
69.0,143.0,153.0,224.0,7.0200000000000005,11.39,14.090000000000002,0.4375,0.5,0.75,648.0100000000001,613.93,1081.9299999999998,0.6428571428571429,0.6666666666666666,-0.6468753218862398,0.57,126.41000000000003,137.23000000000002,0.6805555555555555,0.8055555555555557,0.6749999999999999,1.9,2.56,2.44,578.0,419.0,1.523460345529624,-0.07203568130542068,-0.9826272458901915,0.8658428074536534,0.7083577212867016,1.0072714711481563,-1.2357561289466676,-1.4595359672751638,0.2863075611344292,-0.23230443718304178,0.13078116091925113
